MLB Observation,Team Observation,Away Code,Home Code,aveprice,min,max,stdev,chc,nyy,phi,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Apr,May,June,July,Aug,Sept,winpct,div,int,Attendance,Windspeed,Temp,vwp,diffwp,aft,earlyeve,Evening,opday
905,14,ARI,NYM,85.2,20,315,67.49197483,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5,0,0,26995,6,71,0.518518519,-0.018518519,0,0,1,0
906,15,ARI,NYM,85.2,20,315,67.49197483,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.518518519,0,0,30253,9,61,0.5,0.018518519,0,1,0,0
907,16,ARI,NYM,66.08,12,315,61.78923855,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.535714286,0,0,29107,9,62,0.482758621,0.052955665,1,0,0,0
908,17,MIL,NYM,66.08,12,315,61.78923855,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.555555556,0,0,20061,10,66,0.416666667,0.138888889,0,0,1,0
909,18,MIL,NYM,66.08,12,315,61.78923855,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.540540541,0,0,22268,9,64,0.432432432,0.108108108,0,0,1,0
910,19,CIN,NYM,66.08,12,315,61.78923855,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.526315789,0,0,22659,13,71,0.513513514,0.012802276,0,0,1,0
911,20,CIN,NYM,66.08,12,315,61.78923855,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.538461538,0,0,29943,11,67,0.5,0.038461538,1,0,0,0
912,21,SDP,NYM,85.2,20,315,67.49197483,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.52173913,0,0,24109,11,66,0.361702128,0.160037003,0,0,1,0
913,22,SDP,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.531914894,0,0,24489,8,71,0.354166667,0.177748227,0,0,1,0
914,23,SDP,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.541666667,0,0,28745,7,85,0.346938776,0.194727891,1,0,0,0
915,24,SDP,NYM,85.2,20,315,67.49197483,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.551020408,0,0,28361,7,76,0.34,0.211020408,1,0,0,0
916,25,PHI,NYM,66.08,12,315,61.78923855,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.54,1,0,32122,4,85,0.509803922,0.030196078,1,0,0,0
917,26,PHI,NYM,66.08,12,315,61.78923855,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.549019608,1,0,25487,12,83,0.5,0.049019608,0,0,1,0
918,27,PHI,NYM,85.2,20,315,67.49197483,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.538461538,1,0,30064,8,76,0.509433962,0.029027576,0,0,1,0
919,28,STL,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.547169811,0,0,27069,18,66,0.509433962,0.037735849,0,0,1,0
920,29,STL,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.555555556,0,0,27914,17,76,0.5,0.055555556,0,1,0,0
921,30,STL,NYM,66.08,12,315,61.78923855,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.563636364,0,0,23559,9,69,0.490909091,0.072727273,0,0,1,0
922,31,STL,NYM,85.2,20,315,67.49197483,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.553571429,0,0,25830,8,59,0.5,0.053571429,1,0,0,0
923,32,CIN,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.53030303,0,0,34716,14,74,0.5625,-0.03219697,0,0,1,0
924,33,CIN,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.52238806,0,0,27988,12,69,0.569230769,-0.04684271,0,0,1,0
925,34,CIN,NYM,66.08,12,315,61.78923855,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.514705882,0,0,40134,8,70,0.575757576,-0.061051693,1,0,0,0
926,35,BAL,NYM,66.08,12,315,61.78923855,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.52173913,0,1,29014,10,66,0.573529412,-0.051790281,0,0,1,0
927,36,BAL,NYM,66.08,12,315,61.78923855,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.528571429,0,1,32587,13,71,0.565217391,-0.036645963,0,0,1,0
928,37,BAL,NYM,155.84,36,315,90.33349323,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.535211268,0,1,29855,8,94,0.557142857,-0.02193159,0,0,1,0
929,38,NYY,NYM,155.84,36,315,90.33349323,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.541666667,0,1,40191,4,71,0.585714286,-0.044047619,0,0,1,0
930,39,NYY,NYM,155.84,36,315,90.33349323,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.534246575,0,1,42122,12,82,0.591549296,-0.05730272,0,0,1,0
931,40,NYY,NYM,85.2,20,315,67.49197483,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.527027027,0,1,42364,8,77,0.597222222,-0.070195195,0,0,1,0
932,41,PHI,NYM,85.2,20,315,67.49197483,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.536585366,1,0,42516,17,84,0.43373494,0.102850426,0,0,1,0
933,42,PHI,NYM,85.2,20,315,67.49197483,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.530120482,1,0,28687,10,86,0.44047619,0.089644291,1,0,0,0
934,43,PHI,NYM,111.12,28,315,75.60661347,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.535714286,1,0,28409,11,91,0.435294118,0.100420168,0,0,1,0
935,44,CHC,NYM,111.12,28,315,75.60661347,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.529411765,0,0,27956,13,82,0.380952381,0.148459384,0,0,1,0
936,45,CHC,NYM,111.12,28,315,75.60661347,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.534883721,0,0,26096,12,94,0.376470588,0.158413133,0,1,0,0
937,46,CHC,NYM,111.12,28,315,75.60661347,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.528735632,0,0,25920,5,89,0.38372093,0.145014702,1,0,0,0
938,47,LAD,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5,0,0,30806,8,64,0.526315789,-0.026315789,0,0,1,0
939,48,LAD,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.494736842,0,0,33503,9,76,0.53125,-0.036513158,1,0,0,0
940,49,LAD,NYM,85.2,20,315,67.49197483,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.489583333,0,0,31184,9,81,0.536082474,-0.046499141,1,0,0,0
941,50,WAS,NYM,85.2,20,315,67.49197483,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.484536082,1,0,26735,7,80,0.583333333,-0.098797251,0,0,1,0
942,51,WAS,NYM,85.2,20,315,67.49197483,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.479591837,1,0,36236,15,90,0.587628866,-0.108037029,0,0,1,0
943,52,WAS,NYM,85.2,20,315,67.49197483,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.474747475,1,0,35517,9,80,0.591836735,-0.11708926,1,0,0,0
944,53,MIA,NYM,85.2,20,315,67.49197483,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.477477477,1,0,28968,11,78,0.45045045,0.027027027,0,0,1,0
945,54,MIA,NYM,85.2,20,315,67.49197483,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.473214286,1,0,26193,11,79,0.455357143,0.017857143,0,0,1,0
946,55,MIA,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.477876106,1,0,28985,8,89,0.451327434,0.026548673,1,0,0,0
947,56,ATL,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.473684211,1,0,25101,9,80,0.575221239,-0.101537028,0,0,1,0
948,57,ATL,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.469565217,1,0,30388,15,84,0.578947368,-0.109382151,0,0,1,0
949,58,ATL,NYM,85.2,20,315,67.49197483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.474137931,1,0,24891,15,83,0.573913043,-0.099775112,0,0,1,0
950,59,COL,NYM,85.2,20,315,67.49197483,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.463414634,0,0,23833,7,75,0.388429752,0.074984882,0,0,1,0
951,60,COL,NYM,85.2,20,315,67.49197483,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.459677419,0,0,27633,6,77,0.393442623,0.066234796,0,0,1,0
952,61,COL,NYM,85.2,20,315,67.49197483,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.456,0,0,22204,9,78,0.398373984,0.057626016,0,0,1,0
953,62,COL,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.452380952,0,0,22544,6,84,0.403225806,0.049155146,1,0,0,0
954,63,HOU,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.448818898,0,0,25513,8,83,0.31496063,0.133858268,0,0,1,0
955,64,HOU,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.453125,0,0,29906,13,82,0.3125,0.140625,1,0,0,0
956,65,HOU,NYM,85.2,20,315,67.49197483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.457364341,0,0,25071,12,79,0.310077519,0.147286822,1,0,0,0
957,66,ATL,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.467625899,1,0,24071,10,81,0.564285714,-0.096659815,0,0,1,0
958,67,ATL,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.464285714,1,0,25603,26,83,0.567375887,-0.103090172,0,1,0,0
959,68,ATL,NYM,66.08,12,315,61.78923855,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.460992908,1,0,23161,3,75,0.570422535,-0.109429627,1,0,0,0
960,69,WAS,NYM,66.08,12,315,61.78923855,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.457746479,1,0,21923,14,69,0.612676056,-0.154929577,0,0,1,0
961,70,WAS,NYM,66.08,12,315,61.78923855,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.454545455,1,0,22596,6,72,0.615384615,-0.160839161,0,0,1,0
962,71,WAS,NYM,66.08,12,315,61.78923855,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.96969697,1,0,21205,12,71,2.696969697,-0.727272727,0,0,1,0
963,72,PHI,NYM,66.08,12,315,61.78923855,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.448979592,1,0,20527,11,71,0.5,-0.051020408,0,0,1,0
964,73,PHI,NYM,66.08,12,315,61.78923855,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.445945946,1,0,21741,8,68,0.503355705,-0.057409759,0,0,1,0
965,74,PHI,NYM,85.2,20,315,67.49197483,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.44295302,1,0,20010,13,66,0.506666667,-0.063713647,0,0,1,0
966,75,MIA,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.446666667,1,0,25446,8,68,0.437086093,0.009580574,0,0,1,0
967,76,MIA,NYM,111.12,28,315,75.60661347,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.450331126,1,0,30332,16,74,0.434210526,0.0161206,1,0,0,0
968,77,MIA,NYM,66.08,12,315,61.78923855,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.453947368,1,0,26923,11,68,0.431372549,0.022574819,1,0,0,0
969,78,PIT,NYM,66.08,12,315,61.78923855,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.45751634,0,0,22072,10,64,0.490196078,-0.032679739,0,0,1,0
970,79,PIT,NYM,66.08,12,315,61.78923855,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.454545455,0,0,25286,12,69,0.493506494,-0.038961039,0,0,1,0
971,80,PIT,NYM,66.08,12,315,61.78923855,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.458064516,0,0,22890,9,72,0.490322581,-0.032258065,0,0,1,0
